dmu,Punteggio di efficienza,Efficienza,Ha slack,Slack input 1,Slack input 2,Slack input 3,Slack output 1
AcomeA_PMITALIA_ESG_A1,0.796651,Non efficiente,Sì,0.00032775374,-0.0065548884,0.0071291979,0.0
Acomea_Pmitalia_Esg_P2,1.0,Efficiente,No,0.0,0.0,0.0,0.0
Allianz_Azioni_Italia_All_Stars_A,1.0,Efficiente,No,0.0,0.0,0.0,0.0
Albemarle_Target_Italy_A,0.657237,Non efficiente,Sì,0.00038750174,-0.0077499084,0.0081250079,0.0
Algebris_Ucits_Funds_Plc_Algebris_Core_Italy_Fund_R_Eur_Acc,0.561404,Non efficiente,No,0.0,-0.4902358,0.0,0.0
Amundi_Impegno_Italia_B,0.687831,Non efficiente,No,0.0,-0.32113515,0.0,0.0
Amundi_Sviluppo_Attivo_Italia_A,0.824824,Non efficiente,No,0.0,-0.060854083,0.0,0.0
Anima_Iniziativa_Italia_A,0.959672,Non efficiente,Sì,0.00038619368,-0.0077238021,0.0097026695,0.0
Anima_Italia_A,0.959211,Non efficiente,Sì,6.5794211e-05,-0.0013155053,0.0091579137,0.0
Arca_Azioni_Italia_P,0.752322,Non efficiente,Sì,0.00017027884,-0.0034055611,0.0032507747,0.0
Azimut_Trend_Italia,0.883257,Non efficiente,No,0.0,-0.033886723,0.0,0.0
Bnl_Azioni_Italia,0.600328,Non efficiente,No,0.0,-0.57953234,0.0,0.0
Eurizon_Azioni_Italia_R,0.961702,Non efficiente,Sì,0.0,0.00064768775,0.0,0.0
Fidelity_Funds_Italy_Fund_A-acc-eur,0.861244,Non efficiente,Sì,0.0,0.26612438,0.014641151,0.0
Fideuram_Italia_R,1.0,Efficiente,No,0.0,0.0,0.0,0.0
Mediolanum_Challenge_Italian_Equity_Fund_L_Acc,0.491228,Non efficiente,No,0.0,-0.50944512,0.0,0.0
Mediolanum_Flessibile_Futuro_Italia_La,0.643275,Non efficiente,No,0.0,-0.39905281,0.0,0.0
Zenit_Pianeta_Italia_R,0.801246,Non efficiente,No,0.0,-0.64319138,0.0,0.0
Schroder_International_Selection_Fund_Italian_Equity_A_Accumulation_Eur,0.637959,Non efficiente,Sì,0.0,0.17161139,0.010845241,0.0
Investimenti_Azionario_Italia_A,0.864921,Non efficiente,No,0.0,-0.21281698,0.0,0.0
Interfund_Equity_Italy,0.877193,Non efficiente,Sì,0.0,1.4210526e-08,0.035087718,0.0
Fonditalia_Equity_Italy_R,0.859649,Non efficiente,Sì,0.0,0.0085963905,0.0085965047,0.0
Abrdn_Sicav_I_Euro_Government_Bond_Fund_A_Acc_Eur,0.025,Non efficiente,No,0.0,0.0,0.0,0.0
Amundi_Euro_Government_Bond_Ae,0.02,Non efficiente,Sì,0.0,0.048828571,0.0,0.0
Anima_Tricolore_A,0.0125,Non efficiente,Sì,0.0,0.048678571,0.0,0.0
Blackrock_Euro_Government_Enhanced_Index_Fund_Flexible_Eur_Acc,0.020732,Non efficiente,No,0.0,0.0,0.0,0.0
Bluebay_Funds_Bluebay_Investment_Grade_Euro_Government_Bond_Fund_R_Eur_Acc,0.016667,Non efficiente,Sì,0.0,0.049428531,0.0,0.0
Dws_Eurorenta,0.016667,Non efficiente,No,0.0,0.0,0.0,0.0
Arca_Bb,0.409756,Non efficiente,No,0.0,0.0,0.0,0.0
Anima_Visconteo_Plus_A,0.004545,Non efficiente,Sì,0.0,0.051194829,0.0,0.0
Anima_Visconteo_Plus_Ad,0.004545,Non efficiente,Sì,0.0,0.051194829,0.0,0.0
Arca_Economia_Reale_Bilanciato_Italia_55_Pir,0.233918,Non efficiente,No,0.0,-0.48150394,0.0,0.0
Azimut_Dinamico,0.050752,Non efficiente,Sì,0.0,0.049384172,0.0,0.0
Bancoposta_Rinascimento_A,0.012805,Non efficiente,No,0.0,0.0,-0.052852946,0.0
Carmignac_Portfolio_Patrimoine_Europe_A_Eur_Acc,0.0125,Non efficiente,Sì,0.0,0.050785714,0.0,0.0
Epsilon_Dlongrun,0.010244,Non efficiente,No,0.0,0.0,0.0,0.0
Eurizon_Am_Sicav_Low_Carbon_Euro_R_Cap,0.004545,Non efficiente,Sì,0.0,0.051259757,0.0,0.0
Eurizon_Bilanciato_Euro_Multimanager,0.004443,Non efficiente,Sì,0.0,0.051181033,0.0,0.0
Fideuram_Bilanciato,1.0,Efficiente,No,0.0,0.0,0.0,0.0
Ubs_lux_Key_Selection_Sicav_European_Growth_And_Income_eur_P_acc,0.004545,Non efficiente,Sì,0.0,0.051259757,0.0,0.0
Fidelity_Funds_European_Multi_Asset_Income_Fund_A_acc_eur,0.004441,Non efficiente,Sì,0.0,0.051695031,0.0,0.0
